monthly_income,employment_status,loan_amount,emi,existing_loans,credit_utilization,repayment_history,delayed_payments,outstanding_debt,cibil_score_range,risk
25000,Self-Employed,485000,18200,4,91,47,6,381000,300-549,High
25300,Self-Employed,514000,18100,4,89,52,5,362000,300-549,High
25400,Salaried,307000,8600,3,47,85,1,94000,650-749,Medium
31500,Salaried,337000,9000,2,59,82,2,100000,650-749,Medium
35200,Self-Employed,403000,12500,2,50,87,1,120000,650-749,Medium
45400,Salaried,291000,6800,1,24,97,0,50000,750-900,Low
18500,Salaried,353000,12100,2,74,64,2,208000,550-649,High
19300,Self-Employed,387000,14500,4,82,60,4,238000,300-549,High
23100,Salaried,292000,8700,2,54,84,1,94000,650-749,Medium
30700,Salaried,280000,7300,1,17,97,0,52000,750-900,Low
52800,Salaried,549000,14300,2,49,84,0,133000,650-749,Medium
31400,Salaried,291000,7700,2,17,93,0,47000,750-900,Low
28700,Salaried,259000,7900,2,55,79,2,85000,650-749,Medium
40200,Salaried,247000,6800,1,34,94,0,56000,750-900,Low
30900,Salaried,284000,7800,2,16,98,0,51000,750-900,Low
67700,Salaried,567000,13800,1,15,100,0,48000,750-900,Low
43600,Salaried,512000,15300,3,43,84,2,156000,650-749,Medium
22400,Self-Employed,208000,7200,1,66,79,1,92000,650-749,Medium
40200,Self-Employed,466000,12900,3,48,83,1,130000,650-749,Medium
41800,Salaried,413000,9500,1,20,94,1,60000,750-900,Low
30400,Self-Employed,562000,19900,5,95,50,6,398000,300-549,High
21800,Salaried,368000,13600,3,77,62,3,230000,550-649,High
20500,Self-Employed,283000,10900,3,71,63,2,178000,550-649,High
37500,Self-Employed,478000,13300,2,51,82,1,132000,650-749,Medium
50300,Salaried,309000,7300,1,30,96,0,54000,750-900,Low
30200,Salaried,310000,9700,1,57,79,2,104000,650-749,Medium
24000,Salaried,317000,8500,3,49,79,0,97000,650-749,Medium
47400,Salaried,423000,10300,2,26,96,0,59000,750-900,Low
46000,Salaried,298000,6800,1,31,94,0,47000,750-900,Low
37300,Self-Employed,420000,13100,2,46,87,0,137000,650-749,Medium
32000,Salaried,369000,10700,2,54,78,1,126000,650-749,Medium
23100,Self-Employed,231000,6800,2,63,75,2,102000,650-749,Medium
27700,Self-Employed,534000,19800,4,89,54,6,390000,300-549,High
21500,Salaried,382000,12700,2,79,57,3,239000,550-649,High
35500,Salaried,241000,6500,2,34,94,1,52000,750-900,Low
43500,Self-Employed,352000,9000,2,24,95,0,75000,750-900,Low
52700,Salaried,443000,11400,1,26,96,0,59000,750-900,Low
39700,Self-Employed,336000,8400,1,31,94,0,64000,750-900,Low
41300,Self-Employed,358000,8300,1,24,91,0,72000,750-900,Low
48300,Salaried,526000,14100,2,48,84,1,160000,650-749,Medium
31400,Self-Employed,400000,10700,2,52,78,2,113000,650-749,Medium
64200,Salaried,607000,14000,1,13,100,0,43000,750-900,Low
37700,Salaried,210000,5700,2,31,92,0,33000,750-900,Low
45100,Self-Employed,330000,8800,1,27,96,0,65000,750-900,Low
26800,Self-Employed,475000,16500,4,82,57,5,294000,300-549,High
34400,Self-Employed,358000,11300,1,60,84,1,106000,650-749,Medium
23200,Self-Employed,471000,15200,5,83,58,4,304000,300-549,High
28500,Self-Employed,519000,19800,5,91,52,4,414000,300-549,High
58600,Salaried,496000,11500,2,20,98,0,43000,750-900,Low
26200,Salaried,234000,7100,2,65,78,3,82000,650-749,Medium
22600,Self-Employed,446000,15100,4,80,61,4,297000,300-549,High
40200,Salaried,259000,6200,2,30,92,0,52000,750-900,Low
22000,Self-Employed,211000,6900,2,65,79,3,103000,650-749,Medium
73600,Salaried,680000,16300,1,11,96,0,31000,750-900,Low
68400,Salaried,717000,16400,1,16,100,0,30000,750-900,Low
51400,Salaried,540000,15000,2,45,89,1,149000,650-749,Medium
50900,Salaried,473000,11100,1,17,98,0,69000,750-900,Low
62200,Salaried,586000,14700,1,12,97,0,44000,750-900,Low
50500,Salaried,425000,11000,1,19,95,0,70000,750-900,Low
24400,Self-Employed,447000,16900,4,83,51,3,313000,300-549,High
20200,Self-Employed,312000,10600,2,74,66,3,184000,550-649,High
51100,Salaried,314000,6600,1,25,96,1,54000,750-900,Low
25500,Self-Employed,427000,14600,2,81,57,4,276000,300-549,High
26400,Salaried,237000,7300,1,60,76,2,93000,650-749,Medium
18700,Self-Employed,390000,14200,2,81,61,3,238000,300-549,High
34200,Salaried,207000,5700,2,35,94,1,37000,750-900,Low
47100,Salaried,473000,15100,3,43,85,1,145000,650-749,Medium
74500,Salaried,699000,15600,2,7,99,0,31000,750-900,Low
46200,Salaried,427000,10100,2,29,100,1,59000,750-900,Low
33800,Salaried,194000,5700,1,37,90,0,37000,750-900,Low
31900,Self-Employed,405000,11200,3,54,81,1,120000,650-749,Medium
30100,Salaried,374000,10100,3,58,82,1,121000,650-749,Medium
22600,Salaried,386000,13900,4,82,61,4,225000,550-649,High
55900,Salaried,533000,15300,3,55,89,2,135000,650-749,Medium
71400,Salaried,716000,16800,2,8,100,0,31000,750-900,Low
28400,Self-Employed,497000,17400,4,84,55,3,291000,300-549,High
30500,Salaried,331000,9100,2,57,76,3,95000,650-749,Medium
58700,Salaried,502000,11400,1,15,96,1,37000,750-900,Low
65200,Salaried,596000,13900,2,14,100,1,41000,750-900,Low
25800,Self-Employed,460000,16000,3,80,57,4,293000,300-549,High
36600,Salaried,260000,6500,1,29,93,0,57000,750-900,Low
22400,Self-Employed,433000,15000,3,84,60,4,277000,300-549,High
34300,Salaried,190000,5700,1,36,95,1,32000,750-900,Low
23900,Self-Employed,454000,15600,5,79,54,4,336000,300-549,High
47800,Salaried,377000,9900,1,21,95,0,60000,750-900,Low
21300,Salaried,356000,12200,2,77,63,3,227000,550-649,High
